Schoolfield Dam net generation,
Month,All primemovers - All fuels (ALL) megawatthours
Jan-22,1189
Dec-21,711
Nov-21,659
Oct-21,837
Sep-21,894
Aug-21,1063
Jul-21,1270
Jun-21,1259
May-21,1432
Apr-21,1730
Mar-21,1812
Feb-21,1408
Jan-21,1466
Dec-20,1577
Nov-20,1693
Oct-20,1720
Sep-20,1451
Aug-20,1832
Jul-20,1654
Jun-20,1713
May-20,1195
Apr-20,1719
Mar-20,1746
Feb-20,804
Jan-20,886
Dec-19,618
Nov-19,1075
Oct-19,1069
Sep-19,844
Aug-19,1291
Jul-19,1343
Jun-19,1444
May-19,1677
Apr-19,1530
Mar-19,1712
Feb-19,997
Jan-19,1181
Dec-18,844
Nov-18,939
Oct-18,953
Sep-18,924
Aug-18,1165
Jul-18,933
Jun-18,1136
May-18,1378
Apr-18,1412
Mar-18,1465
Feb-18,1247
Jan-18,950
Dec-17,816
Nov-17,753
Oct-17,802
Sep-17,902
Aug-17,1028
Jul-17,994
Jun-17,1502
May-17,1655
Apr-17,1319
Mar-17,1213
Feb-17,1119
Jan-17,2169
Dec-16,778.801
Nov-16,417.166
Oct-16,1640.727
Sep-16,958.98
Aug-16,1181.692
Jul-16,1238.199
Jun-16,1117.14
May-16,1931.956
Apr-16,1315.009
Mar-16,1620.311
Feb-16,2005.412
Jan-16,2251.607
Dec-15,2307.842
Nov-15,675.111
Oct-15,1740.391
Sep-15,758.64
Aug-15,818.483
Jul-15,1099.588
Jun-15,810.259
May-15,1018.999
Apr-15,1695.419
Mar-15,1349.717
Feb-15,1010.604
Jan-15,1322.947
Dec-14,1154.114
Nov-14,632.709
Oct-14,845.968
Sep-14,921.907
Aug-14,1084.938
Jul-14,975.905
Jun-14,1138.559
May-14,1727.314
Apr-14,1799.601
Mar-14,1322.78
Feb-14,1420.495
Jan-14,2113.71
Dec-13,1111.271
Nov-13,533.055
Oct-13,489.903
Sep-13,727.789
Aug-13,1132.149
Jul-13,2283.335
Jun-13,1526.165
May-13,1874.47
Apr-13,1436.498
Mar-13,1022.386
Feb-13,1145.285
Jan-13,1147.694
Dec-12,519.393
Nov-12,765.252
Oct-12,664.946
Sep-12,994.21
Aug-12,1179.693
Jul-12,1154.465
Jun-12,976.883
May-12,1546.192
Apr-12,1532.501
Mar-12,1314.182
Feb-12,652.939
Jan-12,1337.344
Dec-11,1380.578
Nov-11,795.042
Oct-11,542.226
Sep-11,970.468
Aug-11,1026.856
Jul-11,1027.89
Jun-11,1257.616
May-11,1516.638
Apr-11,1717.067
Mar-11,1500.633
Feb-11,765.316
Jan-11,977.67
Dec-10,1013.919
Nov-10,1101.284
Oct-10,712.096
Sep-10,986.316
Aug-10,1120.885
Jul-10,1051.027
Jun-10,1220.624
May-10,1058.979
Apr-10,1619.05
Mar-10,1831.117
Feb-10,2328.771
Jan-10,2358.932
Dec-09,2462.407
Nov-09,1530.703
Oct-09,712.024
Sep-09,971.88
Aug-09,1005.324
Jul-09,900.291
Jun-09,1783.549
May-09,1062.86
Apr-09,1138.429
Mar-09,1119.136
Feb-09,638.584
Jan-09,1323.813
Dec-08,828.766
Nov-08,399.562
Oct-08,821.332
Sep-08,1101.16
Aug-08,1167.712
Jul-08,1263
Jun-08,1095.423
May-08,1405.633
Apr-08,1277.538
Mar-08,883.917
Feb-08,752.443
Jan-08,828.514
Dec-07,747.946
Nov-07,677.408
Oct-07,659.342
Sep-07,1081.689
Aug-07,1266.867
Jul-07,1332.271
Jun-07,1268.856
May-07,530.593
Apr-07,1896.612
Mar-07,1285.98
Feb-07,1265.846
Jan-07,2468.31
Dec-06,1154.416
Nov-06,1090.178
Oct-06,930.718
Sep-06,1055.749
Aug-06,1626.436
Jul-06,1638.274
Jun-06,1562.29
May-06,1590.011
Apr-06,1344.809
Mar-06,1235.507
Feb-06,1402.369
Jan-06,1555.243
Dec-05,1932.809
Nov-05,1827.503
Oct-05,1664.186
Sep-05,818.174
Aug-05,947.139
Jul-05,1201.211
Jun-05,1414.758
May-05,1579.074
Apr-05,2131.247
Mar-05,1700.095
Feb-05,1556.006
Jan-05,1914.798
Dec-04,2365.679
Nov-04,1432.664
Oct-04,1939.305
Sep-04,1809.041
Aug-04,1773.904
Jul-04,1352.822
Jun-04,1535.165
May-04,1643.768
Apr-04,1806.618
Mar-04,1207.849
Feb-04,2225.085
Jan-04,1536.101
Dec-03,2178.055
Nov-03,1655.211
Oct-03,1613.798
Sep-03,1754.358
Aug-03,2367.106
Jul-03,2229.247
Jun-03,1805.588
May-03,1526.377
Apr-03,1445.544
Mar-03,1664.113
Feb-03,1820.585
Jan-03,2133.019
Dec-02,912.483
Nov-02,583.575
Oct-02,701.528
Sep-02,883.559
Aug-02,1070.75
Jul-02,1047.835
Jun-02,720.653
May-02,577.891
Apr-02,802.586
Mar-02,704.239
Feb-02,527.07
Jan-02,571.831
Dec-01,534.229
Nov-01,613.31
Oct-01,750.601
Sep-01,892.071
Aug-01,1057.491
Jul-01,865.318
Jun-01,756.127
May-01,498.766
Apr-01,610.903
Mar-01,872.011
Feb-01,836.205
Jan-01,1069.967
