Tri-County Water Hydropower Project net generation,
Month,All primemovers - All fuels (ALL) megawatthours
Jan-22,379
Dec-21,376
Nov-21,369
Oct-21,374
Sep-21,1212
Aug-21,3228
Jul-21,2440
Jun-21,1569
May-21,1329
Apr-21,293
Mar-21,311
Feb-21,277
Jan-21,335
Dec-20,338
Nov-20,307
Oct-20,399
Sep-20,756
Aug-20,2796
Jul-20,3194
Jun-20,2011
May-20,2582
Apr-20,874
Mar-20,406
Feb-20,377
Jan-20,402
Dec-19,401
Nov-19,388
Oct-19,541
Sep-19,2859
Aug-19,4826
Jul-19,5519
Jun-19,5160
May-19,1752
Apr-19,629
Mar-19,318
Feb-19,283
Jan-19,312
Dec-18,306
Nov-18,266
Oct-18,341
Sep-18,279
Aug-18,861
Jul-18,2378
Jun-18,2138
May-18,2122
Apr-18,326
Mar-18,376
Feb-18,344
Jan-18,405
Dec-17,443
Nov-17,426
Oct-17,709
Sep-17,2367
Aug-17,4446
Jul-17,5016
Jun-17,4901
May-17,3205
Apr-17,2204
Mar-17,712
Feb-17,417
Jan-17,373
Dec-16,1771.112
Nov-16,77.34
Oct-16,1515.641
Sep-16,2276.038
Aug-16,1442.552
Jul-16,2315.986
Jun-16,2711.08
May-16,1813.294
Apr-16,1416.364
Mar-16,2735.251
Feb-16,2601.284
Jan-16,2742.058
Dec-15,2693.687
Nov-15,199.129
Oct-15,1915.337
Sep-15,1787.634
Aug-15,1716.208
Jul-15,2464.64
Jun-15,3676.018
May-15,2056.248
Apr-15,518.361
Mar-15,1704.672
Feb-15,1978.623
Jan-15,2970.443
Dec-14,1506.398
Nov-14,157.292
Oct-14,815.792
Sep-14,2725.136
Aug-14,1271.524
Jul-14,2906.392
Jun-14,3160.558
May-14,3787.507
Apr-14,3630.401
Mar-14,
Feb-14,
Jan-14,
Dec-13,
Nov-13,
Oct-13,
Sep-13,
Aug-13,
Jul-13,
Jun-13,
May-13,
Apr-13,
Mar-13,
Feb-13,
Jan-13,
Dec-12,
Nov-12,
Oct-12,
Sep-12,
Aug-12,
Jul-12,
Jun-12,
May-12,
Apr-12,
Mar-12,
Feb-12,
Jan-12,
Dec-11,
Nov-11,
Oct-11,
Sep-11,
Aug-11,
Jul-11,
Jun-11,
May-11,
Apr-11,
Mar-11,
Feb-11,
Jan-11,
Dec-10,
Nov-10,
Oct-10,
Sep-10,
Aug-10,
Jul-10,
Jun-10,
May-10,
Apr-10,
Mar-10,
Feb-10,
Jan-10,
Dec-09,
Nov-09,
Oct-09,
Sep-09,
Aug-09,
Jul-09,
Jun-09,
May-09,
Apr-09,
Mar-09,
Feb-09,
Jan-09,
Dec-08,
Nov-08,
Oct-08,
Sep-08,
Aug-08,
Jul-08,
Jun-08,
May-08,
Apr-08,
Mar-08,
Feb-08,
Jan-08,
Dec-07,
Nov-07,
Oct-07,
Sep-07,
Aug-07,
Jul-07,
Jun-07,
May-07,
Apr-07,
Mar-07,
Feb-07,
Jan-07,
Dec-06,
Nov-06,
Oct-06,
Sep-06,
Aug-06,
Jul-06,
Jun-06,
May-06,
Apr-06,
Mar-06,
Feb-06,
Jan-06,
Dec-05,
Nov-05,
Oct-05,
Sep-05,
Aug-05,
Jul-05,
Jun-05,
May-05,
Apr-05,
Mar-05,
Feb-05,
Jan-05,
Dec-04,
Nov-04,
Oct-04,
Sep-04,
Aug-04,
Jul-04,
Jun-04,
May-04,
Apr-04,
Mar-04,
Feb-04,
Jan-04,
Dec-03,
Nov-03,
Oct-03,
Sep-03,
Aug-03,
Jul-03,
Jun-03,
May-03,
Apr-03,
Mar-03,
Feb-03,
Jan-03,
Dec-02,
Nov-02,
Oct-02,
Sep-02,
Aug-02,
Jul-02,
Jun-02,
May-02,
Apr-02,
Mar-02,
Feb-02,
Jan-02,
Dec-01,
Nov-01,
Oct-01,
Sep-01,
Aug-01,
Jul-01,
Jun-01,
May-01,
Apr-01,
Mar-01,
Feb-01,
Jan-01,
