Chester Diversion Hydroelectric Project net generation,
Month,All primemovers - All fuels (ALL) megawatthours
Jan-22,0
Dec-21,373
Nov-21,619
Oct-21,585
Sep-21,566
Aug-21,616
Jul-21,268
Jun-21,762
May-21,1115
Apr-21,805
Mar-21,488
Feb-21,0
Jan-21,0
Dec-20,0
Nov-20,511
Oct-20,555
Sep-20,479
Aug-20,383
Jul-20,612
Jun-20,950
May-20,1161
Apr-20,689
Mar-20,601
Feb-20,0
Jan-20,2
Dec-19,637
Nov-19,522
Oct-19,617
Sep-19,607
Aug-19,661
Jul-19,796
Jun-19,1148
May-19,1150
Apr-19,986
Mar-19,427
Feb-19,0
Jan-19,0
Dec-18,139
Nov-18,658
Oct-18,0
Sep-18,0
Aug-18,76
Jul-18,710
Jun-18,1142
May-18,1012
Apr-18,527
Mar-18,481
Feb-18,519
Jan-18,1
Dec-17,199
Nov-17,782
Oct-17,783
Sep-17,725
Aug-17,642
Jul-17,828
Jun-17,1054
May-17,1293
Apr-17,1232
Mar-17,346
Feb-17,0
Jan-17,0
Dec-16,362.85
Nov-16,327.281
Oct-16,322.799
Sep-16,384.607
Aug-16,635.27
Jul-16,748.218
Jun-16,666.349
May-16,812.442
Apr-16,956.188
Mar-16,646.171
Feb-16,384.116
Jan-16,416.709
Dec-15,211.011
Nov-15,172.412
Oct-15,165.15
Sep-15,245.665
Aug-15,310.732
Jul-15,436.55
Jun-15,371.989
May-15,340.441
Apr-15,436.632
Mar-15,324.266
Feb-15,410.414
Jan-15,286.738
Dec-14,393.407
Nov-14,285.986
Oct-14,294.11
Sep-14,385.23
Aug-14,595.979
Jul-14,893.443
Jun-14,670.887
May-14,601.958
Apr-14,
Mar-14,
Feb-14,
Jan-14,
Dec-13,
Nov-13,
Oct-13,
Sep-13,
Aug-13,
Jul-13,
Jun-13,
May-13,
Apr-13,
Mar-13,
Feb-13,
Jan-13,
Dec-12,
Nov-12,
Oct-12,
Sep-12,
Aug-12,
Jul-12,
Jun-12,
May-12,
Apr-12,
Mar-12,
Feb-12,
Jan-12,
Dec-11,
Nov-11,
Oct-11,
Sep-11,
Aug-11,
Jul-11,
Jun-11,
May-11,
Apr-11,
Mar-11,
Feb-11,
Jan-11,
Dec-10,
Nov-10,
Oct-10,
Sep-10,
Aug-10,
Jul-10,
Jun-10,
May-10,
Apr-10,
Mar-10,
Feb-10,
Jan-10,
Dec-09,
Nov-09,
Oct-09,
Sep-09,
Aug-09,
Jul-09,
Jun-09,
May-09,
Apr-09,
Mar-09,
Feb-09,
Jan-09,
Dec-08,
Nov-08,
Oct-08,
Sep-08,
Aug-08,
Jul-08,
Jun-08,
May-08,
Apr-08,
Mar-08,
Feb-08,
Jan-08,
Dec-07,
Nov-07,
Oct-07,
Sep-07,
Aug-07,
Jul-07,
Jun-07,
May-07,
Apr-07,
Mar-07,
Feb-07,
Jan-07,
Dec-06,
Nov-06,
Oct-06,
Sep-06,
Aug-06,
Jul-06,
Jun-06,
May-06,
Apr-06,
Mar-06,
Feb-06,
Jan-06,
Dec-05,
Nov-05,
Oct-05,
Sep-05,
Aug-05,
Jul-05,
Jun-05,
May-05,
Apr-05,
Mar-05,
Feb-05,
Jan-05,
Dec-04,
Nov-04,
Oct-04,
Sep-04,
Aug-04,
Jul-04,
Jun-04,
May-04,
Apr-04,
Mar-04,
Feb-04,
Jan-04,
Dec-03,
Nov-03,
Oct-03,
Sep-03,
Aug-03,
Jul-03,
Jun-03,
May-03,
Apr-03,
Mar-03,
Feb-03,
Jan-03,
Dec-02,
Nov-02,
Oct-02,
Sep-02,
Aug-02,
Jul-02,
Jun-02,
May-02,
Apr-02,
Mar-02,
Feb-02,
Jan-02,
Dec-01,
Nov-01,
Oct-01,
Sep-01,
Aug-01,
Jul-01,
Jun-01,
May-01,
Apr-01,
Mar-01,
Feb-01,
Jan-01,
