Garland Canal Power Plant net generation,
Month,All primemovers - All fuels (ALL) megawatthours
Jan-22,0
Dec-21,0
Nov-21,0
Oct-21,607
Sep-21,1539
Aug-21,1758
Jul-21,1920
Jun-21,1002
May-21,1879
Apr-21,375
Mar-21,0
Feb-21,0
Jan-21,0
Dec-20,0
Nov-20,0
Oct-20,848
Sep-20,1577
Aug-20,1820
Jul-20,1789
Jun-20,1710
May-20,1799
Apr-20,592
Mar-20,0
Feb-20,0
Jan-20,0
Dec-19,0
Nov-19,0
Oct-19,0
Sep-19,448
Aug-19,1853
Jul-19,1853
Jun-19,1735
May-19,1736
Apr-19,281
Mar-19,0
Feb-19,0
Jan-19,0
Dec-18,0
Nov-18,0
Oct-18,601
Sep-18,1464.21
Aug-18,1833.48
Jul-18,1872
Jun-18,1642
May-18,1687.95
Apr-18,92.07
Mar-18,0
Feb-18,0
Jan-18,0
Dec-17,0
Nov-17,0
Oct-17,537.57
Sep-17,1428
Aug-17,1869.12
Jul-17,1907
Jun-17,1800.81
May-17,1
Apr-17,90.09
Mar-17,0
Feb-17,0
Jan-17,0
Dec-16,292.989
Nov-16,275.708
Oct-16,217.456
Sep-16,583.379
Aug-16,1209.575
Jul-16,1657.567
Jun-16,2030.195
May-16,1683.24
Apr-16,664.546
Mar-16,336.644
Feb-16,271.899
Jan-16,360.992
Dec-15,455.067
Nov-15,426.379
Oct-15,287
Sep-15,951.36
Aug-15,1420.667
Jul-15,1537.54
Jun-15,1303.424
May-15,1257.757
Apr-15,1217.298
Mar-15,458.368
Feb-15,273.385
Jan-15,319.755
Dec-14,282.408
Nov-14,219.333
Oct-14,387.367
Sep-14,768.912
Aug-14,1195.293
Jul-14,1897.739
Jun-14,1536.341
May-14,1079.899
Apr-14,869.732
Mar-14,429.808
Feb-14,253.497
Jan-14,271.821
Dec-13,303.38
Nov-13,370.68
Oct-13,303.971
Sep-13,642.624
Aug-13,1516.975
Jul-13,2016.38
Jun-13,1677.343
May-13,996.877
Apr-13,665.146
Mar-13,417.583
Feb-13,319.231
Jan-13,355.98
Dec-12,302.595
Nov-12,242.923
Oct-12,233.472
Sep-12,881.545
Aug-12,1556.532
Jul-12,1492.553
Jun-12,1741.293
May-12,1622.547
Apr-12,940.606
Mar-12,524.27
Feb-12,345.465
Jan-12,300.199
Dec-11,184.83
Nov-11,164.898
Oct-11,187.544
Sep-11,938.308
Aug-11,1256.457
Jul-11,1360.001
Jun-11,1350.335
May-11,1503.189
Apr-11,1260.654
Mar-11,884.252
Feb-11,275.859
Jan-11,205.673
Dec-10,245.755
Nov-10,227.322
Oct-10,216.892
Sep-10,890.815
Aug-10,1307.804
Jul-10,1725.482
Jun-10,1881.168
May-10,1532.132
Apr-10,799.694
Mar-10,335.378
Feb-10,259.877
Jan-10,289.681
Dec-09,
Nov-09,
Oct-09,
Sep-09,
Aug-09,
Jul-09,
Jun-09,
May-09,
Apr-09,
Mar-09,
Feb-09,
Jan-09,
Dec-08,
Nov-08,
Oct-08,
Sep-08,
Aug-08,
Jul-08,
Jun-08,
May-08,
Apr-08,
Mar-08,
Feb-08,
Jan-08,
Dec-07,
Nov-07,
Oct-07,
Sep-07,
Aug-07,
Jul-07,
Jun-07,
May-07,
Apr-07,
Mar-07,
Feb-07,
Jan-07,
Dec-06,
Nov-06,
Oct-06,
Sep-06,
Aug-06,
Jul-06,
Jun-06,
May-06,
Apr-06,
Mar-06,
Feb-06,
Jan-06,
Dec-05,
Nov-05,
Oct-05,
Sep-05,
Aug-05,
Jul-05,
Jun-05,
May-05,
Apr-05,
Mar-05,
Feb-05,
Jan-05,
Dec-04,
Nov-04,
Oct-04,
Sep-04,
Aug-04,
Jul-04,
Jun-04,
May-04,
Apr-04,
Mar-04,
Feb-04,
Jan-04,
Dec-03,
Nov-03,
Oct-03,
Sep-03,
Aug-03,
Jul-03,
Jun-03,
May-03,
Apr-03,
Mar-03,
Feb-03,
Jan-03,
Dec-02,
Nov-02,
Oct-02,
Sep-02,
Aug-02,
Jul-02,
Jun-02,
May-02,
Apr-02,
Mar-02,
Feb-02,
Jan-02,
Dec-01,
Nov-01,
Oct-01,
Sep-01,
Aug-01,
Jul-01,
Jun-01,
May-01,
Apr-01,
Mar-01,
Feb-01,
Jan-01,
