Glen Canyon Dam net generation,
Month,All primemovers - All fuels (ALL) megawatthours
Jan-22,250721
Dec-21,225456
Nov-21,188193
Oct-21,182609
Sep-21,237320
Aug-21,309029
Jul-21,302731
Jun-21,259159
May-21,248496
Apr-21,253436
Mar-21,284233
Feb-21,277726
Jan-21,318306
Dec-20,303786
Nov-20,274186
Oct-20,276461
Sep-20,262408
Aug-20,366739
Jul-20,334305
Jun-20,288933
May-20,275888
Apr-20,275334
Mar-20,306338
Feb-20,297472
Jan-20,336930
Dec-19,334965
Nov-19,279649
Oct-19,280888
Sep-19,311153
Aug-19,411492
Jul-19,390474
Jun-19,331416
May-19,298906
Apr-19,293839
Mar-19,323946
Feb-19,300927
Jan-19,334650
Dec-18,312197
Nov-18,247195
Oct-18,267770
Sep-18,287754
Aug-18,392260
Jul-18,383003
Jun-18,342565
May-18,317873
Apr-18,317617
Mar-18,363162
Feb-18,334208
Jan-18,392899
Dec-17,338369
Nov-17,287715
Oct-17,293235
Sep-17,305301
Aug-17,420111
Jul-17,398362
Jun-17,345492
May-17,290481
Apr-17,269294
Mar-17,311048
Feb-17,306471
Jan-17,383799
Dec-16,394654
Nov-16,276343
Oct-16,268269
Sep-16,314727
Aug-16,407040
Jul-16,434196
Jun-16,358939
May-16,304046
Apr-16,286929
Mar-16,298097
Feb-16,300850
Jan-16,372135
Dec-15,376780
Nov-15,255528
Oct-15,262393
Sep-15,316205
Aug-15,356009
Jul-15,469892
Jun-15,346782
May-15,298242
Apr-15,255450
Mar-15,277249
Feb-15,253013
Jan-15,371662
Dec-14,376339
Nov-14,280419
Oct-14,262541
Sep-14,265435
Aug-14,352296
Jul-14,352351
Jun-14,259194
May-14,202833
Apr-14,204986
Mar-14,206243
Feb-14,245814
Jan-14,336168
Dec-13,251830
Nov-13,230807
Oct-13,201562
Sep-13,252628
Aug-13,336583
Jul-13,360653
Jun-13,343584
May-13,256042
Apr-13,234551
Mar-13,257470
Feb-13,258208
Jan-13,348338
Dec-12,352040
Nov-12,287255
Oct-12,220023
Sep-12,213451
Aug-12,359454
Jul-12,396821
Jun-12,323311
May-12,275561
Apr-12,275561
Mar-12,273710
Feb-12,294055
Jan-12,387121
Dec-11,562025
Nov-11,507735
Oct-11,445461
Sep-11,440835
Aug-11,705464
Jul-11,706765
Jun-11,632944
May-11,519632
Apr-11,414157
Mar-11,451962
Feb-11,423751
Jan-11,443690
Dec-10,380968
Nov-10,368112
Oct-10,225649
Sep-10,215775
Aug-10,365350
Jul-10,366879
Jun-10,271587
May-10,266698
Apr-10,264546
Mar-10,267865
Feb-10,278328
Jan-10,399795
Dec-09,402131
Nov-09,308694
Oct-09,283812
Sep-09,274487
Aug-09,367654
Jul-09,370244
Jun-09,299916
May-09,255270
Apr-09,259497
Mar-09,270189
Feb-09,261102
Jan-09,350870
Dec-08,353757
Nov-08,266119
Oct-08,333734
Sep-08,322479
Aug-08,399493
Jul-08,389366
Jun-08,347477
May-08,331792
Apr-08,279304
Mar-08,298659
Feb-08,246088
Jan-08,329440
Dec-07,333417
Nov-07,250942
Oct-07,245363
Sep-07,252140
Aug-07,338947
Jul-07,341980
Jun-07,342077
May-07,252805
Apr-07,249815
Mar-07,248674
Feb-07,250538
Jan-07,334583
Dec-06,336978
Nov-06,252890
Oct-06,253419
Sep-06,222065
Aug-06,347806
Jul-06,350177
Jun-06,339739
May-06,247202
Apr-06,243958
Mar-06,243289
Feb-06,328923
Jan-06,330207
Dec-05,334276
Nov-05,209874
Oct-05,207027
Sep-05,207129
Aug-05,366351
Jul-05,359191
Jun-05,321586
May-05,231055
Apr-05,196239
Mar-05,300313
Feb-05,271380
Jan-05,295008
Dec-04,228696
Nov-04,240806
Oct-04,190837
Sep-04,187101
Aug-04,351494
Jul-04,359293
Jun-04,323297
May-04,238647
Apr-04,259562
Mar-04,323010
Feb-04,301574
Jan-04,323575
Dec-03,249595
Nov-03,197802
Oct-03,205246
Sep-03,198626
Aug-03,380884
Jul-03,385381
Jun-03,361185
May-03,274407
Apr-03,252972
Mar-03,333239
Feb-03,303174
Jan-03,339912
Dec-02,262568
Nov-02,207915
Oct-02,218034
Sep-02,212532
Aug-02,396366
Jul-02,404961
Jun-02,339915
May-02,269157
Apr-02,275634
Mar-02,277626
Feb-02,277626
Jan-02,373954
Dec-01,375686
Nov-01,285342
Oct-01,284879
Sep-01,214690
Aug-01,391080
Jul-01,385548
Jun-01,279152
May-01,285426
Apr-01,283654
Mar-01,307797
Feb-01,307807
Jan-01,405852
